test_id,vehicle_id,test_date,test_class_id,test_type,test_result,test_mileage,postcode_area,make,model,colour,fuel_type,cylinder_capacity,first_use_date,completed_date
1688175135,734780732,2024-12-18,4,NT,P,59936.0,CF,RENAULT,CLIO,SILVER,PE,1149,2011-12-24,2024-12-18T09:44:26.000Z
1688175135,734780732,2024-12-18,4,NT,P,59936.0,CF,RENAULT,CLIO,SILVER,PE,1149,2011-12-24,2024-12-18T09:44:26.000Z
233975135,1288809236,2024-12-16,4,NT,P,73082.0,EH,SKODA,FABIA,GREY,PE,1199,2011-07-13,2024-12-16T10:48:17.000Z
150605029,671063282,2024-12-12,4,NT,P,121783.0,CA,HONDA,CR-V,GREY,DI,2199,2011-09-01,2024-12-12T12:04:14.000Z
1393058041,142902196,2024-12-28,4,NT,P,14583.0,L,HYUNDAI,I10,RED,PE,1248,2011-03-18,2024-12-28T10:13:22.000Z
234586263,1157177882,2024-12-05,4,NT,F,130018.0,TR,RENAULT,CLIO,SILVER,PE,1149,2007-03-17,2024-12-05T12:24:41.000Z
234586263,1157177882,2024-12-05,4,NT,F,130018.0,TR,RENAULT,CLIO,SILVER,PE,1149,2007-03-17,2024-12-05T12:24:41.000Z
1468647793,1157177882,2024-12-05,4,RT,P,130018.0,TR,RENAULT,CLIO,SILVER,PE,1149,2007-03-17,2024-12-05T16:47:09.000Z
1468647793,1157177882,2024-12-05,4,RT,P,130018.0,TR,RENAULT,CLIO,SILVER,PE,1149,2007-03-17,2024-12-05T16:47:09.000Z
1738330677,69730210,2024-12-27,4,NT,P,77718.0,SY,VAUXHALL,CORSA,BLACK,PE,1229,2010-06-30,2024-12-27T10:27:21.000Z
906670557,1279705830,2024-12-09,4,NT,ABR,,DN,HONDA,JAZZ,BLUE,PE,1339,2006-03-20,2024-12-09T14:29:45.000Z
906670557,1279705830,2024-12-09,4,NT,ABR,,DN,HONDA,JAZZ,BLUE,PE,1339,2006-03-20,2024-12-09T14:29:45.000Z
906670557,1279705830,2024-12-09,4,NT,ABR,,DN,HONDA,JAZZ,BLUE,PE,1339,2006-03-20,2024-12-09T14:29:45.000Z
1289159039,1279705830,2024-12-10,4,NT,P,101468.0,DN,HONDA,JAZZ,BLUE,PE,1339,2006-03-20,2024-12-10T08:01:06.000Z
1289159039,1279705830,2024-12-10,4,NT,P,101468.0,DN,HONDA,JAZZ,BLUE,PE,1339,2006-03-20,2024-12-10T08:01:06.000Z
1289159039,1279705830,2024-12-10,4,NT,P,101468.0,DN,HONDA,JAZZ,BLUE,PE,1339,2006-03-20,2024-12-10T08:01:06.000Z
760582569,332577860,2024-12-03,4,NT,PRS,72535.0,SW,MERCEDES-BENZ,E,BLUE,PE,2597,2002-04-19,2024-12-03T12:02:49.000Z
1493234571,153112684,2024-12-05,2,NT,P,31112.0,GL,SUZUKI,DL650,BLUE,PE,645,2007-03-01,2024-12-05T14:57:16.000Z
