rfr_id|test_class_id|test_item_id|minor_item|rfr_deficiency_category|rfr_desc|rfr_loc_marker|rfr_insp_manual_desc|rfr_advisory_text|test_item_set_section_id
8951|5|5026|N|Pre-EU Directive|not working on main beam|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead||5000
8951|7|5026|N|Pre-EU Directive|not working on main beam|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead||5000
8952|3|5026|N|Pre-EU Directive|insecure|Y|a missing, insecure or obviously incorrectly positioned obligatory headlamp||5000
8952|4|5026|N|Pre-EU Directive|insecure|Y|a missing, insecure or obviously incorrectly positioned obligatory headlamp||5000
8952|5|5026|N|Pre-EU Directive|insecure|Y|a missing, insecure or obviously incorrectly positioned obligatory headlamp||5000
8952|7|5026|N|Pre-EU Directive|insecure|Y|a missing, insecure or obviously incorrectly positioned obligatory headlamp||5000
8953|3|5026|N|Pre-EU Directive|not in good working order (not working)|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the beam image is adversely affected||5000
8953|4|5026|N|Pre-EU Directive|not in good working order (not working)|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the beam image is adversely affected||5000
8953|7|5026|N|Pre-EU Directive|not in good working order (not working)|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the beam image is adversely affected||5000
8954|3|5026|N|Pre-EU Directive|not in good working order adversely affecting beam image|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the beam image is adversely affected|not in good working order but not adversely affecting beam image|5000
8954|4|5026|N|Pre-EU Directive|not in good working order adversely affecting beam image|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the beam image is adversely affected|not in good working order but not adversely affecting beam image|5000
8954|7|5026|N|Pre-EU Directive|not in good working order adversely affecting beam image|Y|an obligatory main or dipped beam headlamp not in good working order and in clean condition, i.e. damaged or deteriorated to such an extent that the beam image is adversely affected|not in good working order but not adversely affecting beam image|5000
8955|3|5026|N|Pre-EU Directive|excessively damaged so that the  light output is severely reduced|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead|damaged but light output not reduced|5000
8955|4|5026|N|Pre-EU Directive|excessively damaged so that the  light output is severely reduced|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead|damaged but light output not reduced|5000
8955|5|5026|N|Pre-EU Directive|excessively damaged so that the  light output is severely reduced|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead|damaged but light output not reduced|5000
8955|7|5026|N|Pre-EU Directive|excessively damaged so that the  light output is severely reduced|Y|an obligatory headlamp inoperative, excessively damaged or deteriorated or has a product on the lens or light source so that the light output is well below that required to illuminate the road ahead|damaged but light output not reduced|5000
8956|3|5026|N|Pre-EU Directive|missing|Y|a missing, insecure or obviously incorrectly positioned obligatory headlamp||5000
8956|4|5026|N|Pre-EU Directive|missing|Y|a missing, insecure or obviously incorrectly positioned obligatory headlamp||5000
8956|5|5026|N|Pre-EU Directive|missing|Y|a missing, insecure or obviously incorrectly positioned obligatory headlamp||5000
8956|7|5026|N|Pre-EU Directive|missing|Y|a missing, insecure or obviously incorrectly positioned obligatory headlamp||5000
